trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1058,False,"{'a': 0.7, 'e': 0.6852377459473704}",30,6,37.775314866248095,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.7, 'e': 0.9932950126162707}",20,12,-29.152384277341262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1060,False,"{'a': 0.7, 'e': 0.8341901141889754}",30,21,13.375959130579119,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1061,False,"{'a': 0.7, 'e': 0.28275257047857566}",20,10,18.42653099591992,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1062,False,"{'a': 0.7, 'e': 0.4016679252587641}",30,12,29.547779969056347,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.7, 'e': 0.897177719512373}",25,6,28.22114153697644,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1064,False,"{'a': 0.7, 'e': 0.9707308134907927}",25,18,13.418324132864333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.7, 'e': 0.5877340377970675}",20,6,23.212301770297078,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.7, 'e': 0.07168323947020719}",20,11,17.707762506023755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.7, 'e': 0.6973867691332173}",20,12,14.799667860232761,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.7, 'e': 0.9950984043039657}",20,16,8.734503029443568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.7, 'e': 0.8247997110891045}",20,12,14.919287395602034,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.7, 'e': 0.2665848258979956}",25,17,16.818889967979832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.7, 'e': 0.4170090684156618}",20,16,7.701647461452988,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1072,False,"{'a': 0.7, 'e': 0.9044770819070841}",20,7,19.95749051790638,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
